time;interpolated Pixel leftCheek
19.845;195.82556663644607
19.875;195.66602565846418
19.905;195.6807700037586
19.935;195.99334498036816
19.965;196.0289164655452
19.995;196.02004340649216
20.025;196.0488513012773
20.055;196.10639029768043
20.085;196.16169154228857
20.115;196.16169154228857
20.145;196.28721393034826
20.175;196.41706467661692
20.205;196.33963242516785
20.235;196.16373203804898
20.265;196.12008730041515
20.295;195.79606017675235
20.325;195.8618363354247
20.355;196.17657503684046
20.385;196.3489518884477
20.415;196.28360392868828
20.445;196.10635563610435
20.475;196.22565467764767
20.505;196.4170373696141
20.535;196.6310765569986
20.565;196.83281208188387
20.595;196.9941212871287
20.625;197.1280736277061
20.655;196.97879345945643
20.685;196.70998086158957
20.715;196.40285176302044
20.745;196.4117288815648
20.775;196.68813706006796
20.805;196.75179006564204
20.835;196.78777625124732
20.865;196.96796929742206
20.895;197.17034801445365
20.925;197.28650909692493
20.955;197.35862124636745
20.985;197.40073107147447
21.015;197.32498605789874
21.045;197.249241044323
21.075;196.90189232948796
21.105;196.75971873901466
21.135;196.72583512105425
21.165;196.71158704885002
21.195;196.6931465073991
21.225;196.7169218127579
21.255;196.83125822451666
21.285;196.7797229868428
21.315;196.73078094924796
21.345;196.69566739265713
21.375;196.6620903339556
21.405;196.6489683447891
21.435;196.7135310954983
21.465;196.81472120911118
21.495;196.6601030791595
21.525;196.46055239857273
21.555;196.4382846173022
21.585;196.35123004495418
21.615;196.23385417351108
21.645;196.40192406691708
21.675;196.56999396032307
21.705;196.51139259069163
21.735;196.45636606944265
21.765;196.41903586851151
21.795;196.45665348187393
21.825;196.59974777310583
21.855;196.63729963008632
21.885;196.57996300863132
21.915;196.52262638717633
21.945;196.41927872721746
21.975;196.30192770771396
22.005;196.36862323294406
22.035;196.30398124595516
22.065;195.99825727448854
22.095;196.04790618760848
22.125;195.95752379381543
22.155;196.17563466535825
22.185;195.82940721488995
22.215;195.5481690393052
22.245;195.65084514940318
22.275;196.04379735893542
22.305;196.53156555737365
22.335;197.01933375581189
22.365;197.28203563691028
22.395;197.4975661911595
22.425;197.70481962075198
22.455;197.91274825613672
22.485;198.20612306759625
22.515;198.45063461136334
22.545;198.42151515151514
22.575;198.47
22.605;198.47233766233765
22.635;198.4487437800201
22.665;198.37357442073105
22.695;198.46396133582968
22.725;199.0045374019921
22.755;199.0072415042051
22.785;199.00994560641809
22.815;198.8443378563914
22.845;199.0213337005301
22.875;199.1119733924612
22.905;199.09710512736197
22.935;199.13254626619096
22.965;199.21255645969174
22.995;199.2925666531925
23.025;199.4487954690548
23.055;199.6134930207351
23.085;199.85146532314621
23.115;200.03477330171884
23.145;200.1482623338414
23.175;200.26018030338471
23.205;200.34571527368382
23.235;200.32859322551113
23.265;200.22422947818126
23.295;200.07740857747848
23.325;200.20333102012492
23.355;200.35400549145425
23.385;200.47509006451347
23.415;200.55049100232196
23.445;200.54698384287926
23.475;200.54347668343652
23.505;200.64482600891597
23.535;200.76714663137983
23.565;200.9611888832668
23.595;200.88166175561133
23.625;200.44119138223115
23.655;199.9824942750823
23.685;199.9333658214325
23.715;200.32845955887174
23.745;200.37123581723398
23.775;200.2709663253458
23.805;200.13482024597
23.835;200.0809343655121
23.865;199.9931138628813
23.895;199.54586983854904
23.925;199.41165828057194
23.955;199.23705162223257
23.985;199.05955959958158
24.015;199.02190632790538
24.045;198.68617129302433
24.075;198.0766618737764
24.105;197.49801896330302
24.135;197.1971746318004
24.165;197.51535059470135
24.195;197.44868822190733
24.225;197.31033176564853
24.255;197.26303991723424
24.285;197.3199852521912
24.315;197.05643267360642
24.345;196.9240921942385
24.375;196.79627627001602
24.405;196.63589007234867
24.435;196.45921873795888
24.465;196.226284348865
24.495;195.82879418449755
24.525;195.29114925902678
24.555;195.2194412476935
24.585;195.10667689494835
24.615;194.9939125422032
24.645;195.10122490939503
24.675;195.49061793072977
24.705;195.74792655069407
24.735;195.7926924418498
24.765;195.78718492408805
24.795;195.79222008332323
24.825;195.85078262148326
24.855;195.93295098390638
24.885;195.68903691170678
24.915;195.47525507940733
24.945;195.35082516269358
24.975;195.26439322347605
25.005;195.23181722909243
25.035;195.29017867849467
25.065;195.4399218667112
25.095;195.5896650549277
25.125;195.7021849384821
25.155;195.78988928559514
25.185;195.7930896974638
25.215;195.73946266819664
25.245;195.97870417262314
25.275;195.7181645782748
25.305;195.30797724332277
25.335;195.09571615347417
25.365;195.02371040723983
25.395;194.8553754100949
25.425;194.49143642577135
25.455;194.72750786219711
25.485;195.03024712315062
25.515;195.17834449414585
25.545;195.2870157598567
25.575;195.43188962495594
25.605;195.5527529990772
25.635;195.70715617469284
25.665;195.73803680981595
25.695;195.84889287311114
25.725;195.76155602607216
25.755;195.41415766673924
25.785;195.3989244950592
25.815;195.5950873109324
25.845;195.85558803606094
25.875;195.960353976626
25.905;195.96326144393183
25.935;196.0725180859409
25.965;196.24039048200123
25.995;196.49239897213945
26.025;196.74440746227768
26.055;196.89699745547074
26.085;196.8623768108769
26.115;196.719518823916
26.145;196.6366164037305
26.175;196.67657213642093
26.205;196.79785405395626
26.235;196.97698445727107
26.265;197.09324635475755
26.295;197.2050176446849
26.325;197.2630802336305
