time;interpolated Pixel rightCheek
14.238;204.70085689215344
14.268;204.73758009100194
14.298;204.70322221190455
14.328;204.38235878265226
14.358;204.20029702021654
14.388;204.44087657984755
14.418;204.86712804977253
14.448;204.95676755860993
14.478;204.87052200614124
14.508;204.73839312023313
14.538;204.27474141867344
14.568;204.19433801195132
14.598;204.1139346052292
14.628;204.39818500142752
14.658;204.69718862570687
14.688;204.82244269586042
14.718;204.73311232128555
14.748;204.47487636297373
14.778;204.49954020163324
14.808;204.52420404029274
14.838;204.58795085886914
14.868;204.71032214732082
14.898;204.82948318804483
14.928;204.93580323785804
14.958;205.04212328767125
14.988;204.78413824315945
15.018;204.7199194100983
15.048;204.70374975575965
15.078;205.0128643564514
15.108;205.4549636164838
15.138;205.33560460725474
15.168;204.62053872053872
15.198;204.3810853634383
15.228;204.36645314938
15.258;204.6783500977349
15.288;205.07687767806613
15.318;205.12077775082867
15.348;205.2598122440827
15.378;205.3606203826917
15.408;204.84166977267267
15.438;204.43806262273284
15.468;204.6321488582148
15.498;204.82623509369677
15.528;204.8203942565101
15.558;204.63158421017937
15.588;204.40618032201985
15.618;204.35150212900174
15.648;204.5240051236482
15.678;204.7546138072454
15.708;204.797136351823
15.738;204.66182487553388
15.768;204.57730707177203
15.798;204.51255171642626
15.828;204.4161075701666
15.858;204.49883279910884
15.888;204.62243326488706
15.918;204.63925882467976
15.948;204.493642044125
15.978;203.9582777036048
16.008;203.9761803616944
16.038;204.66264310388462
16.068;204.76041979611048
16.098;204.30534848608295
16.128;203.94116982836496
16.158;204.14067086666162
16.188;204.47128621013874
16.218;204.79697110246224
16.248;204.97967291133114
16.278;204.28502578317182
16.308;203.65052541891507
16.338;203.8041749502982
16.368;204.5149580092468
16.398;204.716096994578
16.428;204.88060212110847
16.458;204.89247837349103
16.488;204.46957059031595
16.518;203.77457627118645
16.548;203.77050847457627
16.578;203.70949152542374
16.608;203.67187634635397
16.638;203.62281317544475
16.668;203.63886922127077
16.698;203.7372468270502
16.728;203.82015910629653
16.758;203.82574475287745
16.788;203.76544266995896
16.818;203.80573945548358
16.848;203.85656635174874
16.878;203.78316825005967
16.908;203.61103262354445
16.938;203.48596314907874
16.968;203.5542144829791
16.998;204.16391413972565
17.028;204.3778817565921
17.058;204.35340277359663
17.088;204.3783322729075
17.118;204.06378124990735
17.148;203.51208865010074
17.178;203.49677432484685
17.208;203.50200156823288
17.238;203.9678192399863
17.268;203.52684873880435
17.298;203.0858782376224
17.328;202.9654528478058
17.358;203.1683274674884
17.388;203.49646296555844
17.418;203.7452734707097
17.448;203.6679816271351
17.478;202.8889587652664
17.508;202.86789516789517
17.538;203.05713924412015
17.568;203.26773452787123
17.598;203.38264377357393
17.628;203.40186698122827
17.658;203.6539839755204
17.688;203.16628681739527
17.718;203.0069192556379
17.748;203.30223043231982
17.778;203.6011105687088
17.808;203.6728477637492
17.838;203.7268769624152
17.868;203.75009382463324
17.898;203.49599965881953
17.928;203.45629810341853
17.958;203.4818464729258
17.988;203.51649994250891
18.018;203.67862481315396
18.048;203.67184086466597
18.078;203.15411938568334
18.108;202.83059376108528
18.138;202.9437397700319
18.168;202.99965144649704
18.198;202.98143160429672
18.228;203.12216048682052
18.258;202.66457127466367
18.288;202.58346488581796
18.318;202.74367909689101
18.348;202.7175811892756
18.378;202.69148328166017
18.408;203.12399759230303
18.438;203.25396875693147
18.468;202.91453926721192
18.498;202.8084456145785
