time;Pixel leftCheek
34.912;193.26926877470356
34.947;193.3001485884101
34.981;193.47251114413075
35.014;193.47251114413075
35.079;192.99703996053282
35.113;193.07301430685743
35.148;193.19289590527873
35.181;193.3938185443669
35.215;193.6296111665005
35.248;193.648635235732
35.282;193.96129032258065
35.317;193.21811915312654
35.384;193.70864567716143
35.465;193.92303848075963
35.499;193.36310395314788
35.533;193.7515861395803
35.567;193.38262567105906
35.604;192.75256222547586
35.638;193.38646616541354
35.672;193.44561403508771
35.706;193.3673772930094
35.74;193.3262270699058
35.774;193.21070897372334
35.81;193.97191574724172
35.877;194.1023069207623
35.913;194.18856569709126
35.947;193.57184894556156
35.981;193.61304561059342
36.015;194.28507014028057
36.049;194.17084168336675
36.084;194.14779559118236
36.119;193.948361469712
36.152;194.09086395233368
36.186;194.29394240317777
36.252;194.62412412412414
36.287;194.32182182182183
36.354;194.025
36.389;193.9230392156863
36.424;194.01842629482073
36.459;193.87749003984064
36.495;194.34711155378486
36.546;193.88128969223254
36.583;193.76111382510993
36.618;194.17778884462152
36.652;194.25149402390437
36.687;194.3550295857988
36.754;194.18244575936885
36.789;194.11439842209072
36.828;194.83341670835418
36.862;194.92896448224113
36.932;194.6520657043305
36.965;194.5490293678447
37;195.124248496994
37.034;195.21442885771543
37.217;195.3066132264529
37.253;195.31763527054107
37.288;195.35821643286573
37.322;195.02025691699606
37.357;194.9081027667984
37.39;194.99160079051384
37.424;195.03211462450594
37.461;195.38419209604803
37.517;195.88094047023512
37.584;195.4400785854617
37.623;195.15225933202356
37.657;195.66732968672304
37.69;195.80556936847339
37.726;195.879164594729
37.765;195.40478515625
37.834;195.177734375
37.871;195.72727272727272
37.907;195.52547452547452
37.974;195.251968503937
38.009;195.45324803149606
38.043;195.36417322834646
38.076;195.16379734382684
38.115;195.40875553369403
38.148;195.0841121495327
38.183;195.35907525823905
38.262;195.50270536153468
38.295;195.53846153846155
38.331;195.3666017526777
38.366;195.51752677702044
38.402;195.63387175721977
38.436;195.6774351443955
38.47;195.80372001957906
38.504;195.85307125307125
38.539;195.75184275184276
38.572;195.62512363996044
38.607;195.62512363996044
38.678;195.4574678536103
38.711;195.4281496062992
38.747;195.58956692913387
38.781;195.58415354330708
38.818;195.4968121628249
38.852;194.73859735164297
38.896;195.3699365544168
38.966;195.39287457296243
39.001;195.78476658476657
39.036;195.52579852579854
39.07;196.0667335674862
39.104;196.31259407927746
39.146;196.58354239839437
39.179;195.75036425449247
39.215;195.75036425449247
39.263;195.37882467217096
39.33;195.89478908188585
39.366;195.47196029776674
39.4;195.20713238886174
39.436;195.32877381533953
39.471;195.4213649851632
39.505;195.5652818991098
39.539;195.57418397626114
39.573;195.31009263773768
39.607;195.10580204778157
39.643;195.31311154598825
39.711;195.43835616438355
39.745;195.25
39.779;195.74492322932144
39.813;195.74492322932144
39.847;195.8494304110946
39.915;195.53352769679302
39.948;195.55539358600583
40;195.8786836935167
40.034;195.81188605108056
40.069;195.29356897398134
40.103;194.87334315169366
40.179;195.18507609229258
40.213;195.2349159248269
40.247;195.42680514342234
40.281;195.30167322834646
40.316;195.30807086614172
40.383;195.479
40.42;195.9545
40.453;195.6065
40.488;195.4335
40.521;195.354
40.557;195.14334806087385
40.59;195.16102110947472
40.623;195.02552773686796
40.657;195.51213472015849
40.691;195.78405151064882
40.725;195.2036489151874
40.76;195.13412228796844
40.798;194.69871794871796
40.873;194.65981399902105
40.906;194.72344591287322
40.939;195.10627780523976
40.973;195.19476025704398
41.008;195.2318339100346
41.042;194.96094908551655
41.077;195.17498764211567
41.114;195.11369253583786
41.168;194.94841849148418
41.235;194.77177615571776
41.269;194.64997569275644
41.303;194.45940690325716
41.336;194.05542051531356
41.371;194.48209906817067
41.403;194.33349681216282
41.437;194.82972440944883
41.47;194.76771653543307
41.538;195.16456970306996
41.584;194.8842476094615
41.618;195.01509813789633
41.656;194.19980554205154
41.723;194.40884783665533
41.758;194.22508507535247
41.792;194.7886830245368
41.827;194.67701552328492
41.86;194.79268903355032
41.894;194.6143209876543
41.929;194.49333333333334
42.016;194.5590975968612
42.049;194.4350171652771
42.116;194.97781065088756
42.151;194.52670259676628
42.184;194.4125428711416
42.222;194.89894947473738
42.257;194.5687843921961
42.33;194.33266633316657
42.397;193.99014292755052
42.431;193.84277969443076
42.465;194.32639920752848
42.499;194.18177315502723
42.533;194.2678926441352
42.568;194.16351888667992
42.602;193.92152023692003
42.636;194.08687068114511
42.705;194.13968410661403
42.767;194.37443834248626
42.801;194.4947578632052
42.835;194.0733137829912
42.87;194.22043010752688
42.903;194.13049853372434
42.936;194.55982053838486
42.972;194.88933200398805
43.039;194.1623088307844
43.072;194.17365564874197
43.108;193.8722249629995
43.143;193.84047267355982
43.177;193.86361398325948
43.244;194.06394490900146
43.314;193.85784554845057
43.349;193.89421651013348
43.382;194.15521502718735
43.416;194.1097380128522
43.45;194.05729945191828
43.484;193.99451918286
43.517;193.99451918286
43.551;193.24963144963144
43.588;193.95872235872235
43.623;193.9837837837838
43.67;194.2059405940594
43.704;194.6569306930693
43.739;194.64950495049504
43.773;194.93403298350825
43.807;194.64917541229386
43.841;193.65688161693936
43.875;193.28248315688163
43.909;194.50979407332997
43.943;194.63636363636363
43.982;194.5489703666499
44.023;193.55861070911723
44.092;193.61553304389773
44.126;193.54317414375302
44.161;194.56556962025317
44.196;194.6612658227848
44.228;193.73119844735567
44.262;193.9825327510917
44.299;193.88258127122756
44.334;194.80241935483872
44.368;195.04183467741936
44.403;195.22076612903226
44.436;194.40533980582524
44.509;194.54271844660195
44.543;194.89198606271776
44.576;194.854156296665
44.611;193.55197305101058
44.644;193.62223291626563
44.679;193.67805582290663
44.722;193.725697786333
44.77;194.8431863727455
44.837;194.8987975951904
44.871;194.0033686236766
44.905;193.79740134744947
44.938;194.62586719524282
44.972;194.50049554013876
45.007;194.29018075232048
45.041;194.21494870542256
45.091;194.8775
45.125;194.8185
45.165;194.44487804878048
45.243;194.60878048780486
45.277;194.28243902439024
45.311;194.6030876494024
45.345;194.6030876494024
45.379;194.21645445641528
45.414;194.15279138099902
45.448;193.95788442703233
45.487;194.15106488360576
45.539;194.02823179791977
45.582;193.99207528479445
45.683;193.72341463414634
45.719;194.10634146341462
45.752;194.56801195814649
45.786;194.446437468859
45.819;194.1247553816047
45.853;194.10176125244618
45.887;194.1702544031311
45.925;193.99608610567515
45.992;194.51640159045726
46.026;194.506958250497
46.06;194.22412109375
46.161;194.30658025922233
46.195;194.3035892323031
46.229;193.4310595065312
46.29;193.20561199806482
46.325;194.10213187902826
46.359;194.1338621715419
46.393;193.95488349033218
46.433;193.7978515625
46.478;193.7978515625
46.513;193.9462890625
46.547;194.10498046875
46.58;193.90222222222224
46.615;194.13728395061727
46.657;194.11796913887505
46.692;194.12692882030862
46.725;193.99114173228347
46.759;194.03001968503938
46.792;194.23326771653544
46.834;194.22211204759543
46.872;194.52751611303916
46.917;194.11799702528506
46.951;193.71687041564792
46.985;193.71393643031786
47.02;193.6518337408313
47.087;193.86653581943082
47.121;194.0593719332679
47.166;194.24288518155055
47.2;194.24288518155055
47.234;194.2791154791155
47.269;194.02063882063882
47.308;194.23194103194103
47.342;194.36003956478734
47.376;194.19040553907024
47.444;194.22840409956075
47.509;194.70134395221504
47.551;195.08063713290193
47.592;195.30164260826282
47.627;194.5839024390244
47.661;194.5151219512195
47.695;194.5969337289812
47.729;194.81750741839764
47.763;194.33481701285857
47.796;194.41740850642927
47.83;193.98044009779952
47.864;194.25036674816627
47.93;194.5819430814524
47.997;194.0755642787046
48.064;194.4325259515571
48.098;194.45477014335145
48.134;194.32384690873405
48.169;194.18940137389598
48.203;194.54442250740374
48.238;194.34698914116487
48.291;193.93630573248407
48.358;194.35962763351299
48.392;194.71288584027437
48.426;194.49828515433612
48.485;194.25749385749387
48.551;194.33745059288538
48.585;194.1581027667984
48.618;193.87860988742045
48.653;193.90993636808614
48.687;193.87714145863924
48.755;194.26955655206777
48.787;193.52536585365854
48.82;193.61560975609757
48.856;194.21457085828342
