time;interpolated Pixel forehead
11.609;228.24466578624958
11.639;228.19591518303827
11.669;228.22911900686302
11.699;228.16045689420724
11.729;228.22572749524068
11.759;228.13587163448463
11.789;228.10550866463132
11.819;228.17020202975885
11.849;228.22875537093344
11.879;228.09235864274194
11.909;228.05891925525296
11.939;228.2209841272131
11.969;228.3308138597905
11.999;228.43267233781967
12.029;228.46249433106576
12.059;228.35952602299054
12.089;228.38000031899963
12.119;228.26679465144377
12.149;228.15241293662243
12.179;228.0380312218011
12.209;227.9933673761651
12.239;227.9699220124551
12.269;228.03885623165365
12.299;228.08547788075987
12.329;228.0072146450222
12.359;227.93051679966058
12.389;227.89658331926796
12.419;227.9650616063463
12.449;228.03353989342463
12.479;228.011309681315
12.509;228.07991071428572
12.539;228.11809671336206
12.569;228.07048963629597
12.599;227.9096108608157
12.629;227.8766251302033
12.659;227.96787977951104
12.689;228.04046975536923
12.719;228.05875190985483
12.749;228.10646795365187
12.779;228.1943921884798
12.809;228.21911672489475
12.839;228.03561272641778
12.869;227.74799446049485
12.899;227.55150815367824
12.929;227.5400056269249
12.959;227.62619488880216
12.989;227.48643974474814
13.019;227.40956770950982
13.049;227.3215382093467
13.079;227.22042961160582
13.109;227.09816797262994
13.139;227.05146114864866
13.169;227.18024642289348
13.199;227.17524324324324
13.229;227.2303783783784
13.259;227.2513936619443
13.289;227.24986479177934
13.319;227.20620048993095
13.349;227.15011183761862
13.379;227.20055132206397
13.409;227.3210342041476
13.439;227.28738014397183
13.469;227.25372608379607
13.499;227.34945767211298
13.529;227.45443109246506
13.559;227.4172027771585
13.589;227.3203317692354
13.619;227.1964703812847
13.649;227.02427093387544
13.679;226.91432216620126
13.709;227.0308538472131
13.739;226.83207374466397
13.769;226.56331262535267
13.799;226.29213836753235
13.829;226.30817296880522
13.859;226.43326352827103
13.889;226.48524118070554
13.919;226.48057593839127
13.949;226.52847497319493
13.979;226.5787889461718
14.009;226.65083736270773
14.039;226.61019146598798
14.069;226.61033319110973
14.099;226.61940964276016
14.129;226.63046429541134
14.159;226.63970990929914
14.189;226.65668319576687
14.219;226.7199705875295
14.249;226.74757842888974
14.279;226.73697821055154
14.309;226.7792853912257
14.339;226.92365696458228
14.369;227.11036357834854
14.399;227.1601520086862
14.429;227.07249445742625
14.459;226.79904497892863
14.489;226.78798852692807
14.519;226.7769320749275
14.549;226.59421028352762
14.579;226.50707560650972
14.609;226.49279077963928
14.639;226.52509327617688
14.669;226.5878787878788
14.699;226.60211201079622
14.729;226.58571524966263
14.759;226.2157371083418
14.789;226.07137871704975
14.819;226.15155729644138
14.849;226.30290588490908
14.879;226.41410244882286
14.909;226.4148809452133
14.939;226.49883095627774
14.969;226.67132780563142
14.999;226.8171027785271
15.029;226.81796483738168
15.059;226.82165937532986
15.089;226.9029267710074
15.119;226.89696804422738
15.149;226.9340781854056
15.179;227.15187523059402
15.209;227.38233698254126
15.239;227.36416807634612
15.269;227.66075931186364
15.299;227.66911587387713
15.329;227.56210675925834
15.359;227.4473226304212
15.389;227.39349568761355
15.419;227.42451518195162
15.449;227.55779185660202
15.479;227.45144154726535
15.509;227.31846601748563
15.539;227.34032137578077
15.569;227.4113753039719
15.599;227.42979963560674
15.629;227.42144057623048
15.659;227.35717900912323
15.689;226.7805951226788
15.719;227.00880005966144
15.749;227.05219904071424
15.779;227.02354568783906
15.809;227.03579463281378
15.839;227.0855868016498
15.869;227.1279940007499
15.899;227.17040119985
15.929;227.35710585600194
15.959;227.4626982588752
15.989;227.67481829407288
16.019;227.85133321808138
16.049;227.89412814840688
16.079;227.9444910452656
16.109;228.11988202637056
16.139;228.11641221374046
16.169;228.1421456499189
16.199;228.202571439198
16.229;228.28308227500912
16.259;228.29677898030613
16.289;228.11615158448188
16.319;227.79217445580088
16.349;227.84473760557867
16.379;228.07763584393842
16.409;228.06899614546674
16.439;228.0551430879789
16.469;228.04429986818047
16.499;227.9988234236676
16.529;227.97231967246015
16.559;228.08242238906712
16.589;228.29692444776316
16.619;228.51142650645917
16.649;228.60423851732475
16.679;228.6991654152073
16.709;228.7988510967463
16.739;228.84733134651856
16.769;228.98304477284293
16.799;229.1992213399121
16.829;229.2322143933844
16.859;229.36089735725903
16.889;229.23800757985921
16.919;229.21281390196225
16.949;229.21834752845658
16.979;229.26109209583697
17.009;229.4407227573032
17.039;229.4396083737961
17.069;229.35479924818702
17.099;229.33569800206732
17.129;229.3418099173222
17.159;229.28410811158093
17.189;229.25245850186403
17.219;229.4552786563665
17.249;229.43915294117645
17.279;229.3458716290806
17.309;229.21727307545
17.339;229.22676188282733
17.369;229.33657745336578
17.399;229.28018701397835
17.429;229.38442822384428
17.459;229.3624145521956
17.489;229.0588556602406
17.519;228.92561882417675
17.549;228.88950960237824
17.579;228.83345480924723
17.609;228.74805147272895
17.639;228.71839448561929
17.669;228.73120444078447
17.699;228.69385732149937
17.729;228.8084470088394
17.759;228.9633354231975
17.789;229.04323936846592
17.819;229.0699584792859
17.849;229.0154087922004
17.879;228.89871237730475
17.909;228.75915790524354
17.939;228.59930510665805
17.969;228.60463800904978
17.999;228.62458572822314
18.029;228.56321174156653
18.059;228.7474028878138
18.089;228.85207423580786
18.119;228.8269230666913
18.149;228.7688819071916
18.179;228.69531812725089
18.209;228.56364323507182
18.239;228.48767951625095
18.269;228.58914816161874
18.299;228.7179140937848
18.329;228.83477579887295
18.359;228.87774606821927
18.389;228.60771841662117
18.419;228.69524559345726
18.449;228.62711597369065
18.479;228.64768104149715
18.509;228.70931327067535
18.539;228.75083308933227
18.569;228.85346682373861
18.599;228.90261436742009
18.629;228.95176191110153
18.659;228.8765553653911
18.689;228.79706074763268
18.719;228.6951586616763
18.749;228.5458825078597
18.779;228.51799651219304
18.809;228.35203979530576
18.839;228.27688756110808
18.869;228.21457258231166
18.899;228.19598117864857
18.929;228.10334385238065
18.959;227.88676024897347
18.989;227.7667543831063
19.019;227.65298534327889
19.049;227.62653186800816
19.079;227.59616028574618
19.109;227.54922356039188
19.139;227.52827536201266
19.169;227.55041903217085
19.199;227.54230873208977
19.229;227.52976719700635
19.259;227.45518837189084
19.289;227.51750700280112
19.319;227.53847245177292
19.349;227.49096428628192
19.379;227.41693891085947
19.409;227.45506605563529
19.439;227.66596689710775
19.469;227.70884031786133
19.499;227.73054001533512
19.529;227.77885781746338
19.559;227.73852432301462
19.589;227.55359786909005
19.619;227.3889343358187
19.649;227.1954699067836
19.679;227.07369643368435
19.709;227.11810149586964
19.739;227.10558416915154
