time;Pixel rightCheek
112.188;202.72350447479982
112.223;202.6971267074894
112.256;202.92133772962788
112.29;202.9848628192999
112.324;202.91296121097446
112.363;202.66461684011352
112.406;202.81945743685688
112.442;202.88306828811974
112.476;203.20800372266172
112.53;203.05863192182412
112.596;202.61686182669789
112.63;202.7648711943794
112.666;202.81728045325778
112.7;202.79131255901794
112.733;203.04532577903683
112.766;202.42169811320755
112.8;202.4070754716981
112.835;202.77431539187913
112.902;202.97969782813976
112.947;202.4577861163227
112.998;202.58864915572232
113.032;203.02733270499527
113.066;202.92082940622055
113.099;202.90150801131009
113.134;202.75636192271443
113.168;202.48491988689915
113.203;202.74316682375118
113.28;202.93945127719962
113.315;202.4271523178808
113.381;201.99905347846664
113.414;201.8816848083294
113.482;202.12735849056602
113.516;202.4948113207547
113.552;202.14964705882352
113.585;202.13035294117648
113.622;202.41129411764706
113.655;202.18843984962405
113.69;202.4125939849624
113.757;202.55374280230328
113.791;202.76247600767755
113.828;202.53694817658348
113.862;202.83158896289248
113.934;202.99857278782113
114.002;202.73624823695346
114.035;202.61777150916785
114.069;202.7905534351145
114.103;202.77958015267177
114.14;202.30482041587902
114.174;202.61200378071834
114.25;202.7432751297782
114.317;203.05899008966495
114.351;202.97818871503083
114.385;203.01517306780465
114.419;202.85633001422474
114.452;202.22321849929213
114.487;202.54318074563474
114.553;202.81870229007635
114.586;202.73711832061068
114.623;203.24952380952382
114.658;203.0504761904762
114.701;202.9604761904762
114.739;202.74976303317536
114.773;202.69004739336492
114.817;202.8644549763033
114.852;202.98383262006658
114.885;202.9177365668093
114.919;202.8174077578051
114.953;203.02270577105014
114.985;202.9976348155156
115.025;203.03973509933775
115.058;203.21726755218216
115.094;203.24098671726756
115.13;203.43500948766604
115.164;202.9090480678605
115.199;203.18378887841658
115.239;203.17364414843007
115.28;202.86108468125596
115.356;202.47655139744197
115.39;202.41165324490763
115.429;202.3249644718143
115.473;202.88304924242425
115.511;202.75378787878788
115.544;202.34564393939394
115.579;202.6634844868735
115.612;202.50644391408113
115.648;202.5326968973747
115.686;202.73747016706443
115.722;202.96833648393195
115.788;202.6748582230624
115.821;202.96157495256168
115.855;202.88140417457305
115.906;202.7106139933365
115.94;202.62779628748214
115.979;202.4074250356973
116.014;202.0431688804554
116.051;202.02893738140418
116.093;202.0540796963947
116.128;201.99574669187146
116.161;202.0907372400756
116.196;201.96516007532958
116.231;201.94915254237287
116.302;201.8145009416196
116.343;202.28878281622912
116.381;202.3565632458234
116.429;202.39331742243436
116.463;202.91141639033634
116.498;202.77025106584557
116.531;202.66208530805687
116.565;202.17914691943128
116.6;202.32045779685265
116.633;202.22460658082974
116.669;202.01812112541725
116.735;201.88873106060606
116.773;202.07717803030303
116.807;202.08948863636363
116.841;202.1279125059439
116.875;201.9243937232525
116.909;201.9776509747979
116.942;201.8235853542558
116.976;201.74657210401892
117.008;201.9243498817967
117.042;202.0385530699667
117.076;202.09424083769633
117.128;202.21839622641508
117.161;202.48584905660377
117.231;202.6683962264151
117.274;202.58471760797343
117.312;202.3877551020408
117.347;201.7714150496924
117.381;201.83483199242784
117.448;201.60732738374824
117.514;201.90746829497417
117.548;201.94974166275247
117.592;201.83294228061942
117.626;201.7977475363679
117.664;201.7919431279621
117.699;201.88009478672987
117.733;201.87535545023698
117.767;201.47227443609023
117.802;201.83975563909775
117.837;201.7565789473684
117.872;202.3747619047619
117.905;202.39380952380952
117.938;201.60573308270676
117.972;201.84022556390977
118.007;201.79276315789474
118.041;202.67857142857142
118.116;202.81285714285715
118.184;201.76011288805267
118.218;201.87535277516463
118.254;201.73102466793168
118.286;201.5915559772296
118.326;201.6954459203036
118.363;201.11578449905483
118.43;201.42958412098298
118.463;201.76238095238097
118.496;201.4804761904762
118.534;201.66997635933805
118.568;201.74893617021277
118.602;201.68605200945626
118.641;202.03386641580434
118.676;202.07008466603952
118.717;202.07008466603952
118.751;202.24317968015052
118.785;202.46975425330814
118.819;202.42202268431
118.854;202.36033914272255
118.888;202.16391898257183
118.922;202.07913330193122
118.957;202.34393063583815
118.99;202.26974951830442
119.024;202.21029836381135
119.058;202.31857555341674
119.092;202.25899280575538
119.175;202.36067146282974
119.22;202.37058261700096
119.254;202.0066857688634
119.287;202.13610315186247
119.321;202.12989493791787
119.354;202.18039029033793
119.388;202.4355069014755
119.422;202.21435406698563
119.457;202.37846889952152
119.491;202.59981033665244
119.526;202.6638217164533
119.564;202.1977240398293
119.632;202.50567644276254
119.664;202.41106906338695
119.699;202.11745283018868
119.732;201.88490566037737
119.765;202.15141509433963
119.799;202.20353559483993
119.833;202.07501194457717
119.867;202.2293358815098
119.901;201.87047619047618
119.935;201.63666666666666
119.97;202.20568720379146
120.005;202.18056872037914
120.092;201.593572778828
120.127;201.84782608695653
120.174;202.14550641940085
120.209;202.33666191155493
120.244;202.49832775919734
120.278;202.3846153846154
120.313;202.70535714285714
120.346;202.63862781954887
120.38;202.33646616541353
120.419;201.75377358490567
120.501;201.72830188679245
120.569;202.11934552454284
120.603;202.05871029836382
120.637;202.0258945386064
120.672;201.99293785310735
120.705;201.81674641148325
120.738;201.77703349282297
120.772;201.63827751196172
120.807;201.85953978907
120.841;202.0666347075743
120.88;202.34743346007605
120.926;202.17252851711027
120.961;202.10836501901142
120.999;201.47148288973384
121.065;201.4449152542373
121.099;201.31967984934087
121.132;201.6760019314341
121.166;201.69145340415258
121.202;201.58770685579196
121.237;201.56737588652481
121.285;201.84869976359337
121.32;202.04964539007094
121.352;202.04917257683215
